Henry Hub Natural Gas Spot Price
https://www.eia.gov/dnav/ng/hist/rngwhhdm.htm
11:41:07 GMT-0400 (Eastern Daylight Time)
Data Source: Thomson Reuters
Month,Henry Hub Natural Gas Spot Price Dollars per Million Btu
Jun 1998,2.17
May 1998,2.14
Apr 1998,2.43
Mar 1998,2.24
Feb 1998,2.23
Jan 1998,2.09
Dec 1997,2.35
Nov 1997,3.01
Oct 1997,3.07
Sep 1997,2.88
Aug 1997,2.49
Jul 1997,2.19
Jun 1997,2.2
May 1997,2.25
Apr 1997,2.03
Mar 1997,1.89
Feb 1997,2.15
Jan 1997,3.45
